Date,GDP,GDP_Growth
2013-01-01,16648.189,1.3871144213798425
2013-04-01,16728.687,0.48352406378857626
2013-07-01,16953.838,1.3458976188627236
2013-10-01,17192.019,1.4048795322923358
2014-01-01,17197.738,0.03326543554891259
2014-04-01,17518.508,1.8651871542641363
2014-07-01,17804.228,1.6309608101328976
2014-10-01,17912.079,0.605760609221595
2015-01-01,18063.529,0.8455188255924728
2015-04-01,18279.784,1.1971913129488865
2015-07-01,18401.626,0.6665396046255267
2015-10-01,18435.137,0.1821089071150528
2016-01-01,18525.933,0.49251600354258684
2016-04-01,18711.702,1.002751116502476
2016-07-01,18892.639,0.9669724325451323
2016-10-01,19089.379,1.0413579595735856
2017-01-01,19280.084,0.9990110207356517
2017-04-01,19438.643,0.8223978692209144
2017-07-01,19692.595,1.3064286431928362
2017-10-01,20037.088,1.7493529928381601
2018-01-01,20328.553,1.4546275386922547
2018-04-01,20580.912,1.241401687567234
2018-07-01,20798.73,1.0583496008340187
2018-10-01,20917.867,0.5728090128579888
2019-01-01,21111.6,0.9261603967555487
2019-04-01,21397.938,1.3563064855340201
2019-07-01,21717.171,1.4918867416103376
2019-10-01,21933.217,0.994816497968376
2020-01-01,21727.657,-0.937208618325347
2020-04-01,19935.444,-8.248533194352248
2020-07-01,21684.551,8.77385524997587
2020-10-01,22068.767,1.7718420824115677
2021-01-01,22656.793,2.664516780661108
2021-04-01,23368.861,3.142845503333147
2021-07-01,23921.991,2.3669531861223447
2021-10-01,24777.038,3.5743136932038677
2022-01-01,25215.491,1.7695940894952855
2022-04-01,25805.791,2.3410212396815844
2022-07-01,26272.011,1.806648747949624
2022-10-01,26734.277,1.7595379356380336
2023-01-01,27164.359,1.6087287492382973
2023-04-01,27453.815,1.0655727234351486
2023-07-01,27967.697,1.8718054303199727
2023-10-01,28296.967,1.1773225374974494
2024-01-01,28624.069,1.1559613438429706
2024-04-01,29016.714,1.3717302036967638
2024-07-01,29374.914,1.2344609386162775
2024-10-01,29723.864,1.187918371437613
2025-01-01,29962.047,0.8013191017157029
2025-04-01,30353.902,1.3078378790341016
